Extron pricelist drive link- https://docs.google.com/spreadsheets/d/1V2sjY4C5fK7a3ri32zxymZrhKaiDBU74/edit?usp=drive_link&ouid=115637406728694488059&rtpof=true&sd=true,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
72,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 2 m (6.6’),26-671-02,2LC OM4 MM P/2,6000,50,65,0.18,,,
73,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 3 m (9.8’),26-671-03,2LC OM4 MM P/3,6360,53,68.9,0.18,,,
74,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 30 m (98.4’),26-671-30,2LC OM4 MM P/30,17280,144,187.2,0.18,,,
75,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 5 m (16.4’),26-671-05,2LC OM4 MM P/5,6960,58,75.4,0.18,,,
76,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 1 m (3.3’),26-670-01,2LC SM P/1,6720,56,72.8,0.18,,,
77,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 10 m (32.8’),26-670-10,2LC SM P/10,9000,75,97.5,0.18,,,
78,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 20 m (65.6’),26-670-20,2LC SM P/20,10440,87,113.1,0.18,,,
79,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 3 m (9.8’),26-670-03,2LC SM P/3,7560,63,81.9,0.18,,,
80,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 30 m (98.4’),26-670-30,2LC SM P/30,11160,93,120.9,0.18,,,
81,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 5 m (16.4’),26-670-05,2LC SM P/5,8160,68,88.4,0.18,,,
82,3.5 mm Male Stereo Audio Connector - Qty. 10,100-331-01,3.5 mm Mini Stereo-HQ/10,3720,31,40.3,0.18,,,
83,"Captive Screw Connectors: 3.5 mm 2 pole, blue, no tail, Qty 10",100-458-01,"3.5 mm, 2 pole, blue, no tail",2400,20,26,0.18,,,
84,"Captive Screw Connectors: 3.5 mm 2 pole, blue with tail, Qty 10",100-455-01,"3.5 mm, 2 pole, blue, with tail",2400,20,26,0.18,,,
85,"Captive Screw Connectors: 3.5 mm 2 pole, orange with tail, Qty 10",100-454-01,"3.5 mm, 2 pole, orange, with tail",2400,20,26,0.18,,,
86,"Captive Screw Connectors: 3.5 mm 3 pole, blue, no tail, Qty 10",100-459-01,"3.5 mm, 3 pole, blue, no tail",2400,20,26,0.18,,,
87,"Captive Screw Connectors: 3.5 mm 3 pole, blue with tail, Qty 10",100-456-01,"3.5 mm, 3 pole, blue, with tail",2400,20,26,0.18,,,
88,"Captive Screw Connectors: 3.5 mm 4 pole, blue, no tail, Qty 10",101-006-01,"3.5 mm, 4 pole, blue, no tail",3120,26,33.8,0.18,,,
89,"Captive Screw Connectors: 3.5 mm 5 pole, blue, no tail, Qty 10",100-460-01,"3.5 mm, 5 pole, blue, no tail",3120,26,33.8,0.18,,,
90,"Captive Screw Connectors: 3.5 mm 5 pole, blue with tail, Qty 10",100-457-01,"3.5 mm, 5 pole, blue, with tail",2400,20,26,0.18,,,
91,"Captive Screw Connectors: 3.5 mm 6 pole, blue, no tail, Qty 10",101-007-01,"3.5 mm, 6 pole, blue, no tail",3120,26,33.8,0.18,,,
92,"Captive Screw Connectors: 5.0 mm 2 pole, green, screw lock, Qty 10",100-463-01,"5.0 mm, 2 pole, green, screw lock",3120,26,33.8,0.18,,,
93,"Captive Screw Connectors: 5.0 mm 4 pole, black, no tail, Qty 10",100-462-01,"5.0 mm, 4 pole, black, no tail",3120,26,33.8,0.18,,,
94,"Captive Screw Connectors: 5.0 mm 4 pole, green, screw lock, Qty 10",100-464-01,"5.0 mm, 4 pole, green, screw lock",3120,26,33.8,0.18,,,
95,Mini Stereo Audio Cable: 3.5 mm Stereo Mini Male to Male - 12' (3.6 m),26-571-06,A Mini/12,720,6,7.8,0.18,,,
96,Mini Stereo Audio Cable: 3.5 mm Stereo Mini Male to Male - 2' (60 cm),26-571-01,A Mini/2,480,4,5.2,0.18,,,
97,Mini Stereo Audio Cable: 3.5 mm Stereo Mini Male to Male - 25' (7.6 m),26-571-07,A Mini/25,960,8,10.4,0.18,,,
98,Mini Stereo Audio Cable: 3.5 mm Stereo Mini Male to Male - 6' (1.8 m),26-571-03,A Mini/6,600,5,6.5,0.18,,,
99,"Audio Cable: Two RCA Male to Male Molded, Nickel Plated - 6' (1.8 m)",26-641-06,A RCA/6,840,7,9.1,0.18,,,
100,Low-Profile AAP Mounting Frame - Black,60-593-02,AAP 100,4680,39,50.7,0.18,,,
101,Low-Profile AAP Mounting Frame - White,60-593-03,AAP 100,4680,39,50.7,0.18,,,
102,Two-Gang AAP Mounting Frame - Black,60-300-02,AAP 102,8160,68,88.4,0.18,,,
103,Two-Gang AAP Mounting Frame - White,60-300-03,AAP 102,8160,68,88.4,0.18,,,
104,Two-Gang AAP Mounting Frame for Floor Boxes - Black,60-301-40,AAP 102 FB,8160,68,88.4,0.18,,,
105,AAP Mounting Frame for MK Boxes - Black,60-533-02,AAP 102 MK,8160,68,88.4,0.18,,,
106,AAP Mounting Frame for MK Boxes - White,60-533-03,AAP 102 MK,8160,68,88.4,0.18,,,
107,AAP Mounting Frame for Ackermann UK Floor Boxes - Black,70-727-02,AAP 103 AKM UK,5280,44,57.2,0.18,,,
108,Four-Gang AAP Mounting Frame - Black,60-301-02,AAP 104,10440,87,113.1,0.18,,,
109,Four-Gang AAP Mounting Frame - White,60-301-03,AAP 104,10440,87,113.1,0.18,,,
110,Six-Gang AAP Mounting Frame - Black,60-531-02,AAP 106,13440,112,145.6,0.18,,,
111,"Half Rack Width, 1U AAP Mounting Frame - Black",60-302-02,AAP 201,8160,68,88.4,0.18,,,
112,"Full Rack Width, 1U AAP Mounting Frame - Black",60-632-02,AAP 301,13440,112,145.6,0.18,,,
113,"Full Rack Width, 2U AAP Mounting Frame - Black",60-633-02,AAP 302,18480,154,200.2,0.18,,,
114,Three-Gang Mounting Frame for Decorator-Style Modules and AAP Modules,70-1069-03,AAP 314,9600,80,104,0.18,,,
115,Four-Gang Mounting Frame for Decorator-Style Modules and AAP - Architectural Adapter Plates,70-1070-03,AAP 424,11160,93,120.9,0.18,,,
116,"AAP – Double Space – Black: One HDMI, VGA, PC Audio, and USB 2 Type-A",70-1076-02,AAP SuperPlate 100,11160,93,120.9,0.18,,,
117,"AAP – Double Space – White: One HDMI, VGA, PC Audio, and USB 2 Type-A",70-1076-03,AAP SuperPlate 100,11160,93,120.9,0.18,,,
118,"AAP – Double Space – Black: One HDMI, VGA, PC Audio, and USB 3 Type-A",70-1238-02,AAP SuperPlate 103,11160,93,120.9,0.18,,,
119,"AAP - Double Space - Black: One HDMI, DisplayPort, Stereo Audio, and USB 2 Type-A",70-1076-12,AAP SuperPlate 110,11160,93,120.9,0.18,,,
120,"AAP - Double Space - Black: Two HDMI, One VGA, and One Stereo Audio",70-1076-32,AAP SuperPlate 130,11160,93,120.9,0.18,,,
121,"AAP - Double Space - Black: One HDMI, One VGA, One Audio, and One Network",70-1076-62,AAP SuperPlate 160,11160,93,120.9,0.18,,,
122,"AAP - Double Space - Black: One HDMI, USB 2 Type-A, USB-C, and Network",70-1076-72,AAP SuperPlate 170,15360,128,166.4,0.18,,,
123,"AAP - Double Space - Black: One HDMI, USB 3 Type-A to Type-B, USB-C, and Network",70-1238-72,AAP SuperPlate 173,15360,128,166.4,0.18,,,
124,"AC Module, Australia",60-1385-04,AC 102 AUS,22320,186,241.8,0.18,,,
125,"AC Module, Brazil",60-1385-13,AC 102 BR,22320,186,241.8,0.18,,,
126,"AC Module, China",60-1385-11,AC 102 CN,22320,186,241.8,0.18,,,
127,"AC Module, Central Europe",60-1385-03,AC 102 EU,22320,186,241.8,0.18,,,
128,"AC Module, France",60-1385-06,AC 102 FR,22320,186,241.8,0.18,,,
129,"AC Module, Italy",60-1385-07,AC 102 IT,22320,186,241.8,0.18,,,
130,"AC Module, Japan",60-1385-12,AC 102 JP,15360,128,166.4,0.18,,,
131,"AC Module, Multi-Region",60-1385-10,AC 102 MULTI,22320,186,241.8,0.18,,,
132,"AC Module, Switzerland",60-1385-05,AC 102 SW,22320,186,241.8,0.18,,,
133,"AC Module, UK",60-1385-02,AC 102 UK,22320,186,241.8,0.18,,,
134,"2 US AC Outlets, 12 A Circuit Breaker, and 6’ (1.83 m) Conduit",60-1889-20,"AC 104 US, Conduit",26160,218,283.4,0.18,,,
135,"Double Space MAAP - Black: AC Power Module, US Style",60-1939-02,AC MAAP,12480,104,135.2,0.18,,,
136,"One US Unswitched AC Outlet, One Configurable Phone or Network Connection Point, Includes RJ-11 / 45 Jacks - Double Space AAP - Black",60-1934-02,AC Net AAP,14040,117,152.1,0.18,,,
137,"One EU Unswitched AC Outlet, One Configurable Phone or Network Connection Point, Includes RJ-11 / 45 Jacks - Triple Space AAP - Black",70-568-02,AC Net AAP,19080,159,206.7,0.18,,,
138,"One Multi-Region Unswitched AC Outlet, One Configurable Phone or Network Connection Point, Includes RJ-11 / 45 Jacks - Triple Space AAP - Black",70-658-02,AC Net AAP,19080,159,206.7,0.18,,,
139,"Double Space AAP - US Unswitched AC Outlet, USB 2.0 Type-A Female on Pigtail; Black",60-1935-02,AC USB 2.0 Type-A AAP,14040,117,152.1,0.18,,,
140,"Double Space AAP – US Unswitched AC Outlet, USB 3.2 Type-A Female to USB Type-B Female on Pigtail; Black",60-1940-02,AC USB 3.2 Type-A AAP,15360,128,166.4,0.18,,,
141,"AC+USB Module, Australia",60-1384-04,AC+USB 212 AUS,29280,244,317.2,0.18,,,
142,"AC+USB Module, China",60-1384-11,AC+USB 212 CN,29280,244,317.2,0.18,,,
143,"AC+USB Module, Denmark",60-1384-09,AC+USB 212 DK,29280,244,317.2,0.18,,,
144,"AC+USB Module, Central Europe",60-1384-03,AC+USB 212 EU,29280,244,317.2,0.18,,,
145,"AC+USB Module, France",60-1384-06,AC+USB 212 FR,29280,244,317.2,0.18,,,
146,"AC+USB Module, Italy",60-1384-07,AC+USB 212 IT,29280,244,317.2,0.18,,,
147,"AC+USB Module, Multi-Region",60-1384-10,AC+USB 212 MULTI,29280,244,317.2,0.18,,,
148,"AC+USB Module, Switzerland",60-1384-05,AC+USB 212 SW,29280,244,317.2,0.18,,,
149,"AC+USB Module, UK",60-1384-02,AC+USB 212 UK,29280,244,317.2,0.18,,,
150,"US (2) AC & (2) USBA Outlets, 12 A Circuit Breaker, Integrated PS, 6' (1.83 m) Conduit",60-1890-20,"AC+USB 244 US, Conduit",40800,340,442,0.18,,,
151,"US (2) AC & (2) USBA Outlets, 12 A Circuit Breaker, Integrated PS, 2 Outlets Under",60-1890-01,"AC+USB 244 US, Cord",34440,287,373.1,0.18,,,
152,"Australia (1) AC, (1) USB-C, & (1) USB-A Outlets",60-1782-04,AC+USB 311 AUS,37560,313,406.9,0.18,,,
153,"AC+USB-C+USB-A, EU",60-1782-03,AC+USB 311 EU,35040,292,379.6,0.18,,,
154,"AC+USB-C+USB-A, FR",60-1782-06,AC+USB 311 FR,35040,292,379.6,0.18,,,
155,"AC+USB-C+USB-A, MULTI",60-1782-10,AC+USB 311 MULTI,35040,292,379.6,0.18,,,
156,"AC+USB-C+USB-A, UK",60-1782-02,AC+USB 311 UK,35040,292,379.6,0.18,,,
157,"US (2) AC & (1) USBA, (1) USBC Outlets, 12 A Circuit Breaker, Integrated PS, 6' (1.83 m) Conduit",60-1891-20,"AC+USB 314 US, Conduit",44520,371,482.3,0.18,,,
158,"US (2) AC, (1) USBC, (1) USBA Outlets, 12 A Circuit Breaker, Integrated PS, 2 Outlets Under",60-1891-01,"AC+USB 314 US, Cord",38880,324,421.2,0.18,,,
159,Audio Control Panel with Volume and 6 Control Buttons – US 2-Gang,60-1643-03,ACP 100,33720,281,365.3,0.18,,,
160,Audio Control Panel with 5 Buttons - Decorator-Style,60-1860-01,ACP 105 D,26760,223,289.9,0.18,,,
161,Audio Control Panel with 6 Buttons – Decorator-Style,60-1645-13,ACP 106 D,26760,223,289.9,0.18,,,
162,Audio Control Panel with 6 Buttons – Flex55 and EU,60-1645-33,ACP 106 EU,26760,223,289.9,0.18,,,
163,Audio Control Panel with Volume and Mute - Decorator-Style,60-1861-01,ACP VC1 D,26760,223,289.9,0.18,,,
164,Audio Control Panel with Volume and Mute - Flex55 and EU,60-1861-31,ACP VC1 EU,26760,223,289.9,0.18,,,
165,Replacement Air Filter Kit for XPA Ultra FX Amps - 10 Pack,70-1341-01,AFK 100,4560,38,49.4,0.18,,,
166,For TouchLink Pro Touchpanels and TouchLink Scheduling Panels - Black,70-1244-12,AMK 1,7560,63,81.9,0.18,,,
167,For TouchLink Pro Touchpanels and TouchLink Scheduling Panels - White,70-1244-13,AMK 1,7560,63,81.9,0.18,,,
168,For TouchLink Pro Touchpanels and TouchLink Scheduling Panels - Black,70-1244-22,AMK 2,8160,68,88.4,0.18,,,
169,For TouchLink Pro Touchpanels and TouchLink Scheduling Panels - White,70-1244-23,AMK 2,8160,68,88.4,0.18,,,
170,For TouchLink Pro Touchpanels and TouchLink Scheduling Panels - Black,70-1244-32,AMK 3,9000,75,97.5,0.18,,,
171,For TouchLink Pro Touchpanels and TouchLink Scheduling Panels - White,70-1244-33,AMK 3,9000,75,97.5,0.18,,,
172,4K/60 HDMI Annotation Processor with USB Extension,60-1731-01,Annotator 401,576120,4801,6241.3,0.18,,,
173,Passive Audio Summing Adapter with Stereo Mini Plug Input and Unbalanced Output,60-738-01,ASA 111,5280,44,57.2,0.18,,,
174,Passive Audio Summing Adapter with RCA Inputs and Unbalanced Output,60-739-01,ASA 121,5280,44,57.2,0.18,,,
175,Passive Audio Summing Adapter with Captive Screw Plug Input and Balanced Output,60-740-01,ASA 131,5280,44,57.2,0.18,,,
176,Passive Audio Summing Adapter with RCA Inputs and Balanced/Unbalanced Output,60-804-01,ASA 141,5280,44,57.2,0.18,,,
177,Quad Active Audio Summing Amplifier with RCA Inputs,60-552-30,ASA 204,23640,197,256.1,0.18,,,
178,Quad Active Audio Summing Amplifier with Captive Screw Inputs,60-552-20,ASA 304,26160,218,283.4,0.18,,,
179,Amplifier Tile Bridge Ceiling Mount Kit,70-1357-01,ATB 100,7080,59,76.7,0.18,,,
180,Half-size Flex55 Module; Black,70-1179-02,Audio to CS,6000,50,65,0.18,,,
181,Half-size Flex55 Module; White,70-1179-03,Audio to CS,6000,50,65,0.18,,,
182,"AVEdge No AC, Black",70-1128-02,AVEdge 100,34800,290,377,0.18,,,
183,16 Output Audio Expansion Interface,60-1690-01,AXI 016,80880,674,876.2,0.18,,,
184,Two Output Dante Audio Interface,60-1753-01,AXI 02 AT,43920,366,475.8,0.18,,,
185,"2 Input, 2 Output Dante Audio Interface",60-1627-11,AXI 22 AT,63000,525,682.5,0.18,,,
186,"2x2 Dante Audio Interface, Decorator Style",60-1947-01,AXI 22 AT D Plus,68160,568,738.4,0.18,,,
187,AXI 22 AT D Plus & WPD 102 XLRM Kit - Black,60-1942-22,AXI 22 AT D Plus & WPD 102 XLRM,81480,679,882.7,0.18,,,
188,AXI 22 AT D Plus & WPD 102 XLRM Kit - White,60-1942-23,AXI 22 AT D Plus & WPD 102 XLRM,81480,679,882.7,0.18,,,
189,"4 In, 4 Out Dante Audio Interface w/ DDM & AES67",60-1628-11,AXI 44 AT,78240,652,847.6,0.18,,,
190,IPI Panel Button Labels,33-1344-01,Backlit Button Labels,1680,14,18.2,0.18,,,
191,"Text and Icon Labels, Sheet 1",33-1762-01,Backlit Button Labels,840,7,9.1,0.18,,,
192,"Back Box for TLP Pro 320M, TLP Pro 520M, and TLC Pro 521M",70-1007-01,BB 1,14160,118,153.4,0.18,,,
193,"Back Box for TLP 700MV, TLP Pro 1220MG, TLP Pro 1520MG, and TLP Pro 1720MG",70-690-01,BB 700M,11880,99,128.7,0.18,,,
194,"Back Box for the TLP 710MV, TLP Pro 720M, and TLP Pro 1022M",70-971-01,BB 710M,11880,99,128.7,0.18,,,
195,"Back can pre-install kit for SF 26CT, back can only, pair, 1 of 2",70-1268-01,BCK SF 26CT,22320,186,241.8,0.18,,,
196,"Back can pre-install kit for SF 3C LP, back can only, Pair, 1 of 2",70-1256-11,BCK SF 3C LP,13440,112,145.6,0.18,,,
197,"Back can pre-install kit for SF 3CT LP, back can only, Pair, 1 of 2",70-1256-01,BCK SF 3CT LP,13440,112,145.6,0.18,,,
198,Black,70-1154-02,Blank Plate,1680,14,18.2,0.18,,,
199,White,70-1154-03,Blank Plate,1680,14,18.2,0.18,,,
200,Half-size Flex55 Module; Black,70-1154-32,Blank Plate,1680,14,18.2,0.18,,,
201,Half-size Flex55 Module; White,70-1154-33,Blank Plate,1680,14,18.2,0.18,,,
202,Double Space AAP - Black: Blank Plate,70-090-12,Blank Plate - Double,1680,14,18.2,0.18,,,
203,Double Space AAP - White: Blank Plate,70-090-22,Blank Plate - Double,1680,14,18.2,0.18,,,
204,Double Space MAAP - Black: Blank Plate,70-315-12,Blank Plate - Double,1680,14,18.2,0.18,,,
205,Double Space MAAP - White: Blank Plate,70-315-22,Blank Plate - Double,1680,14,18.2,0.18,,,
206,Quad Space AAP - Black: Blank Plate,70-090-14,Blank Plate - Quad,3120,26,33.8,0.18,,,
207,Quad Space AAP - White: Blank Plate,70-090-24,Blank Plate - Quad,3120,26,33.8,0.18,,,
208,Quad Space MAAP - Black: Blank Plate,70-315-14,Blank Plate - Quad,3120,26,33.8,0.18,,,
209,Single Space AAP - Black: Blank Plate,70-090-11,Blank Plate - Single,1800,15,19.5,0.18,,,
210,Single Space AAP - White: Blank Plate,70-090-21,Blank Plate - Single,1800,15,19.5,0.18,,,
211,Single Space MAAP - Black: Blank Plate,70-315-11,Blank Plate - Single,1800,15,19.5,0.18,,,
212,Single Space MAAP - White: Blank Plate,70-315-21,Blank Plate - Single,1800,15,19.5,0.18,,,
213,Triple Space MAAP - Black: Blank Plate,70-315-13,Blank Plate - Triple,3120,26,33.8,0.18,,,
214,Triple Space MAAP - White: Blank Plate,70-315-23,Blank Plate - Triple,3120,26,33.8,0.18,,,
215,Double Space AAP - Black,70-1019-02,Blank Plate with One Neutrik Opening,2400,20,26,0.18,,,
