Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
70.0,Codec Pro for Auto Expand,CS-CODEC-PRO+,-,-,,0.18,,,
71.0,Cisco Quad Camera,CS-QUADCAM+,-,-,,0.18,,,
72.0,"Power supply - AC/DC, 12V, 6.25A, grey",PSU-12VDC-70W-GR-,-,-,,0.18,,,
73.0,Wall mounting bracket for Quad Camera,BRKT-QCAM-WMK-,-,-,,0.18,,,
74.0,Cisco Touch10 controller for collaboration endpoints,CS-TOUCH10+,-,-,,0.18,,,
75.0,Network cable (ethernet) 8 meter,CAB-DV10-8M-,-,-,,0.18,,,
76.0,Antennas for Codec Pro,CS-CPRO-ANT+,-,-,,0.18,,,
77.0,Power Cord for India 2m 10A,PWR-CORD-IND-B,-,-,,0.18,,,
78.0,Cisco Table Microphone with Euro block plug,CS-MIC-TABLE-E,18000,23400,278.5714286,0.18,,,
79.0,ESS WITH 8X5XNBD Cisco Table Microphone with Euro block plug - 12 Months,CON-ECDN-CSMICTPL,2800,3640,43.33333333,0.18,,,
80.0,Extension cable for the table microphone with Euro block,CAB-MIC-EXT-E,2700,3510,41.78571429,0.18,,,
81.0,"Cisco Room Kit EQ, Quad Cam, Carbon Black",CS-KIT-EQ-C-K9,1208805,1571446.5,18707.69643,0.18,,2025-03-18 00:00:00,
82.0,SHIP NEXT BUS DAYRoom Ki,CON-SNBD-Z4YYBSUZ,99515,129369.5,1540.113095,0.18,,2025-03-18 00:00:00,
83.0,Pan-Tilt-Zoom 4K 20x Camera-India,CS-CAM-PTZ4K-IND,327918,426293.4,5074.921429,0.18,,2025-03-18 00:00:00,
84.0,SHIP NEXT BUS DAYPTZ 4K camera for India,CON-SNBD-CSCA4KND,51553,67018.9,797.8440476,0.18,,2025-03-18 00:00:00,
85.0,Bracket for ceiling mounting of PTZ 4K camera,CS-PTZ4K-CLNGMNT,14758,19185.4,228.397619,0.18,,2025-03-18 00:00:00,
86.0,"Cisco Ceiling Microphone Pro, Carbon Black",CS-MIC-CLGPRO-C,278168,361618.4,4304.980952,0.18,,2025-08-07 00:00:00,
87.0,Drop Ceiling Grid Mounting Kit for Ceiling Microphone Pro,CS-MIC-CLGP-DMK,14712,19125.6,227.6857143,0.18,,2025-03-18 00:00:00,
88.0,"Ethernet CAT5E Plenum Rated, 20 meter, Gray",CAB-CAT5E-CMP-20M,5165.16,6714.708,79.937,0.18,,2025-03-18 00:00:00,
89.0,"Ethernet CAT5E Plenum Rated, 30 meter, Gray",CAB-CAT5E-CMP-30M,7356.44,9563.372,113.8496667,0.18,,2025-03-18 00:00:00,
90.0,Wall Mount Kit for Codec EQ,CS-CODEC-EQ-WMK,7855.74,10212.462,121.5769286,0.18,,2025-03-18 00:00:00,
91.0,CAB 1.5m/5ft GREY HDMI 2.0,CAB-2HDMI-1.5M-GR,1895.57,2464.241,29.33620238,0.18,,2025-03-18 00:00:00,
92.0,CAB 3m/10ft GREY HDMI 2.0,CAB-2HDMI-3M-GR,2282.44,2967.172,35.32347619,0.18,,2025-03-18 00:00:00,
93.0,CAB 3 m/10 ft GREY ETHERNET,CAB-ETH-3M-GR,1160.61,1508.793,17.96182143,0.18,,2025-03-18 00:00:00,
94.0,Ethernet CAT5E Round Cable - 12 meter - Gray,CAB-CAT5E-12M,1565.2,2034.76,24.22333333,0.18,,2025-03-18 00:00:00,
95.0,"USB-C 3.1 Cable, 1.8M length",CAB-USBC-1.8M,2629.54,3418.402,40.6952619,0.18,,2025-03-18 00:00:00,
96.0,Cloud Device Registration,A-FLEX-C-DEV-REG,54141.61,70384.093,837.905869,0.18,,2025-03-18 00:00:00,
97.0,"Cisco Room Bar Pro, First Light",CS-BARPRO-K9,698643,908235.9,10812.33214,0.18,,2025-08-07 00:00:00,
98.0,ESS WITH 8X5XNBD Cisco Room Bar Pro First Light,CON-ECDN-CSBARPK9,153287.92,199274.296,2372.313048,0.18,,2025-03-12 00:00:00,
99.0,Pan-Tilt-Zoom 4K Camera ESS WITH 8X5XNBD,CON-ECDN-CS3BNDCA,129657.57,168554.841,2006.60525,0.18,,2025-03-12 00:00:00,
100.0,Bracket for wall mounting of PTZ 4K camera (Spare),CS-PTZ4K-BRKT=,19155.25,24901.825,296.4502976,0.18,,2025-03-12 00:00:00,
101.0,Power Supply 12 VDC 40W,PSU-12VDC-40W2=,9295.66,12084.358,143.8614048,0.18,,2025-03-12 00:00:00,
102.0,"Cisco Table Microphone Pro (w/11m cable), First Light-SPARE",CS-MIC-ARRAY-T=,103204.23,134165.499,1597.208321,0.18,,2025-03-12 00:00:00,
103.0,Cisco Microphone Array for table and Webex Rooms ESS WITH 8X,CON-ECDN-CS3FYTMI,27713.07,36026.991,428.89275,0.18,,2025-03-12 00:00:00,
104.0,"Active Optical Cable, USB-C 3.1, 9M long",CAB-USBC-AC-9M=,33028.09,42936.517,511.1490119,0.18,,2025-03-12 00:00:00,
105.0,Webex Video Int for MS Teams CVI per Active Device,A-FLEX-CVI-ROOMS,116535.38,151495.994,1803.523738,0.18,,2025-03-12 00:00:00,
106.0,"Cisco Room Navigator Wall Mount, First Light (White) -",CS-T10-WM-L-K9,79682,103586.6,1233.17381,0.18,,2025-08-07 00:00:00,
107.0,Ceiling Bracket Mounting Kit for Ceiling Mic Pro,        CS-MIC-CLGP-CBK,11572,15043.6,179.0904762,0.18,,2025-08-07 00:00:00,
,"	
Cisco Room Kit EQ, Quad Cam, First Light","	
CS-KIT-EQ-K9",,,,,,,
