Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
58,"1/2 RU 4 Channel ENERGY STAR amplifier / Multichannel Operation
100 watts into 8 Ω & 4 Ω, Bridged pair operation 200 watts into 8Ω &
4Ω, and 350 watts into 70v and 100v / 100-240 VAC Operation",SPA4-100,90000,117000,1392.857143,0.18,,,
59,"2.75"" Full-range (x8) element column surface speaker, 70/100V
transformer with 8 Ω bypass, 150° horizontal x 20° vertical coverage,
includes pan/tilt wall mount and input weather input cover.",AD-S802T-BK,52500,68250,812.5,0.18,,,
60,"6.5"" Two-way low-profile ceiling speaker, 70/100v transformer with 16
Ω bypass, 135° conical DMT coverage, includes C-ring and rails for blind mount installation. Priced individually but must be purchased in pairs.",AD-C6T-LP,22500,29250,348.2142857,0.18,,,
61,"Network Core, 64x64 network I/O channels with 8x8 Software-based
Dante license included, USB AV bridging, dual LAN ports, VoIP
telephony, 8 AEC processors, Half-size 1RU.",CORE NANO,158000,205400,2445.238095,0.18,,2025-06-04 00:00:00,
62,"Q-SYS peripheral providing 4 line outputs. Up to 4 devices daisy-
chainable. 1U-1/4W, powered over Ethernet or +24 VDC. Surface
mountable, rack kit sold separately.",QIO-L4o,50000,65000,773.8095238,0.18,,,
63,"Q-SYS peripheral providing 2 mic/line inputs and 2 line outputs. Up to 4 devices daisy-chainable. 1U-1/4W, powered over Ethernet or +24 VDC.
Surface mountable, rack kit sold separately.",QIO-ML2x2,57500,74750,889.8809524,0.18,,,
64,"6.5"" Two-way pendant speaker, 70/100v transformer with 16 Ω bypass,
135° conical DMT coverage, Includes cable and fastener for suspended installation, Black
",AD-P6T-BK,31250,40625,483.6309524,0.18,,,
65,"6.5"" Two-way pendant speaker, 70/100v transformer with 16 Ω bypass,
135° conical DMT coverage, Includes cable and fastener for suspended installation, White
",AD-P6T-WH,31250,40625,483.6309524,0.18,,,
66,"4"" Full-range, low-profile ceiling-mount network loudspeaker,
PoE/PoE+ powered. Includes C-ring and tile rails. Color - White.",NL-C4-WH,43750,56875,677.0833333,0.18,,,
67,"Q-SYS Collaboration Bundle scaling license for Core Nano and Core 8
Flex that doubles the networked audio capacity to 128x128, doubles
the maximum number of next-generation AEC processors to 16,
doubles the maximum number of Softphone instances to 4, and
doubles the general purpose processing capacity, Perpetual.",SLCOL-8N-P,92500,120250,1431.547619,0.18,,,
68,"2-ch, 60W/ch Q-SYS network audio Amplifier, Lo-Z, FlexIO, with
Mic/line Input, 100-240v",SPA-Qf 60x2,115000,149500,1779.761905,0.18,,2024-10-01 00:00:00,
69,"4-ch, 60W/ch Q-SYS network audio Amplifier, Lo-Z, FlexIO, with
Mic/line Input, 100-240v",SPA-Qf 60x4,132500,172250,2050.595238,0.18,,,
70,"2.75"" Full-range (x16) element column surface speaker, 70/100V
transformer with 8 Ω bypass, 150° horizontal x selectable 15/30°
vertical coverage, includes pan/tilt wall mount and input weather input cover.",AD-S162T-BK,92500,120250,1431.547619,0.18,,,
71,"Network Core for AV&C processing built on Dell PowerEdge Server
Technology offering 256x256 networked audio channels with 8x8
Software-based Dante license included, dual Ethernet ports for
network redundancy, two auxiliary Ethernet ports, 64 next-generation
AEC processors, internal universal PSU, pre-installed 480 GB SSD Media
Drive, 1RU.",CORE 610,812500,1056250,12574.40476,0.18,,,
72,"Q-SYS Core 610 license for Microsoft Teams Room software features, enables both Q-SYS Scripting and UCI Deployment, Perpetual",SLMST-610-P,117500,152750,1818.452381,0.18,,,
73,"Tabletop network microphone with RGB light ring and onboard
meeting controls, PoE powered. Includes mounting kit and soft-flex
CAT6 cable.",NM-T1-BK,107500,139750,1663.690476,0.18,,,
74,"Q-SYS peripheral providing 4 mic/line inputs. Up to 4 devices daisy-
chainable. 1U-1/4W, powered over Ethernet or +24 VDC. Surface
mountable, rack kit sold separately.",QIO-ML4i,62500,81250,967.2619048,0.18,,,
75,"Q-SYS peripheral providing control expansion with 8 logic inputs and 8
logic outputs. Up to 4 devices daisy-chainable. 1U-1/4W, powered over
Ethernet or +24 VDC. Surface mountable, rack kit sold separately.",QIO-GP8x8,37500,48750,580.3571429,0.18,,,
76,"10-port network switch preconfigured for Q-SYS Audio, Video and
Control with 8x PoE+ ports and 125 Watts PoE budget. Features
advanced QoS and IGMP configuration to also support AES67 and
Dante within the same VLAN.",NS10-125+,106250,138125,1644.345238,0.18,,,
77,"10-port network switch preconfigured for Q-SYS Audio, Video and
Control with 8x PoE++ ports and 720 Watts PoE budget. Features
advanced QoS and IGMP configuration to also support AES67 and
Dante within the same VLAN.",NS10-720++,250000,325000,3869.047619,0.18,,,
78,"26-port network switch preconfigured for Q-SYS Audio, Video and
Control with 24x PoE+ ports and 300 Watts PoE budget. Features
advanced QoS and IGMP configuration to also support AES67 and
Dante within the same VLAN.",NS26-300+,250000,325000,3869.047619,0.18,,,
79,"26-port network switch preconfigured for Q-SYS Audio, Video and
Control with 24x PoE++ ports and 1440 Watts PoE budget. Features
advanced QoS and IGMP configuration to also support AES67 and
Dante within the same VLAN.",NS26-1440++,437500,568750,6770.833333,0.18,,,
80,Q-SYS I/O-USB Bridge,Q-SYS I/O-USB Bridge,149800,194740,2318.333333,0.18,,2025-04-01 00:00:00,
81,"Pendant Speaker 4-inch full-range driver
 Sensitivity 90 dB @ 1 W, 1 m
 Effective frequency range 90 Hz - 20 kHz",NL-P4-BK,46000,59800,711.9047619,0.18,,2025-04-06 00:00:00,
82,"4K60 4:4:4 HDMI Encoder for in-wall applications, 
interoperable with NV-32-H and NV-21-HU. 1 HDMI 2.0 Input, PoE+, Color - White.",NV-1-H-WE,115500,150150,1787.5,0.18,,2025-04-03 00:00:00,
83,"Q-SYS 10.1” PoE Touch Screen Controller for
 In-Wall Mounting. Color -Black only",TSC-101-G3,234150,304395,3623.75,0.18,,2025-05-03 00:00:00,
84,"Touch-screen digital audio mixer with 32 input 
(24 mic/line, 6 line, USB stereo), 16 output, touch-screen 
controlled, digital, sound reinforcement mixer.",TOUCHMIX-30,159600,207480,2470,0.18,,2025-04-02 00:00:00,
85,"10"" 2-way, externally powered, live sound-reinforcement 
loudspeaker.  Available in black only.",E110-BK,43050,55965,666.25,0.18,,2025-04-03 00:00:00,
86,Powder coated steel yoke for mounting the E110 vertically or Horizontally to structures.,E110YM-BK,12600,16380,195,0.18,,2025-04-04 00:00:00,
87,"Light weight, class-D professional power amplifier with DSP, 2 channels, 400 watts/ch at 8Ω, 600 watts/ch at 4Ω, total power capacity of 1600 watts.",GXD4,46200,60060,715,0.18,,2025-04-05 00:00:00,
88,1000W active portable loudspeaker system; 12-inch woofer; 1.0-inch compression driver; 75 degree conical waveguide; pole socket; selectable user contours. For use as main or stage monitor.,CP12,46200,60060,715,0.18,,2025-04-06 00:00:00,
89,"5 YR Term, Seervision SW license for single camera tracking / analysis channel.",SLSV-CAM-5YR,735000,955500,11375,0.18,,2025-04-07 00:00:00,
90,1 YR Extended warranty for SVS4-2U hardware.,SVS4-EXW-1YR,50400,65520,780,0.18,,2025-04-08 00:00:00,
91,"6.5"" Two-way ceiling speaker, 70/100V transformer with 16Ωbypass,
zero bezel design, low profile, 150° conical DMT coverage, includes C-
rign and rails for blind mount installation.
Priced individually, sold in pairs. White only.",AD-C6T-LPZB,21360,27768,330.5714286,0.18,,2025-06-12 00:00:00,
92,"1600W FlexAmp technology Hi-Z / Lo-Z amplifier, 8 x 200W into 4Ω, 8Ω,
70V and 100V, Highpass filter per channel, GPIO for Remote Standby
and Amp Status",MP-A80V,247840,322192,3835.619048,0.18,,2025-06-12 00:00:00,
